datetime,symbol,open,high,low,close,volume
2024-11-26 12:10:00,BINANCE:ETHEUR,3207.87,3215.97,3207.87,3215.48,4.0545
2024-11-26 12:11:00,BINANCE:ETHEUR,3218.0,3220.0,3217.55,3218.93,3.1115
2024-11-26 12:12:00,BINANCE:ETHEUR,3218.79,3219.63,3218.14,3218.14,1.7657
2024-11-26 12:13:00,BINANCE:ETHEUR,3219.29,3219.32,3215.01,3215.01,1.9431
2024-11-26 12:14:00,BINANCE:ETHEUR,3215.24,3217.58,3213.99,3215.97,7.1947
2024-11-26 12:15:00,BINANCE:ETHEUR,3214.72,3214.84,3212.47,3214.84,0.2404
2024-11-26 12:16:00,BINANCE:ETHEUR,3214.31,3217.92,3212.96,3217.57,1.0472
2024-11-26 12:17:00,BINANCE:ETHEUR,3217.94,3220.8,3217.94,3219.41,0.587
2024-11-26 12:18:00,BINANCE:ETHEUR,3214.98,3216.85,3214.34,3216.85,3.0621
2024-11-26 12:19:00,BINANCE:ETHEUR,3216.32,3216.97,3213.42,3214.12,2.0428
2024-11-26 12:20:00,BINANCE:ETHEUR,3214.12,3220.85,3214.12,3220.85,3.4813
2024-11-26 12:21:00,BINANCE:ETHEUR,3220.83,3223.0,3220.83,3221.95,5.3934
2024-11-26 12:22:00,BINANCE:ETHEUR,3218.46,3221.06,3217.77,3218.16,1.3783
2024-11-26 12:23:00,BINANCE:ETHEUR,3215.39,3216.45,3215.39,3216.11,1.1142
2024-11-26 12:24:00,BINANCE:ETHEUR,3214.74,3214.74,3214.74,3214.74,0.8112
2024-11-26 12:25:00,BINANCE:ETHEUR,3215.7,3218.23,3215.7,3218.23,0.3869
2024-11-26 12:26:00,BINANCE:ETHEUR,3218.18,3219.94,3217.27,3219.7,2.3662
2024-11-26 12:27:00,BINANCE:ETHEUR,3221.64,3222.91,3218.79,3220.12,2.4853
2024-11-26 12:28:00,BINANCE:ETHEUR,3222.91,3223.28,3221.79,3222.86,1.1056
2024-11-26 12:29:00,BINANCE:ETHEUR,3221.79,3221.79,3220.12,3220.12,1.1141
2024-11-26 12:30:00,BINANCE:ETHEUR,3219.68,3221.19,3219.64,3221.0,1.2826
2024-11-26 12:31:00,BINANCE:ETHEUR,3220.86,3226.51,3220.56,3225.64,2.621
2024-11-26 12:32:00,BINANCE:ETHEUR,3223.81,3223.81,3217.49,3217.6,12.0176
2024-11-26 12:33:00,BINANCE:ETHEUR,3217.85,3218.55,3213.84,3217.23,7.861
2024-11-26 12:34:00,BINANCE:ETHEUR,3216.18,3217.24,3212.42,3212.42,7.1964
2024-11-26 12:35:00,BINANCE:ETHEUR,3212.16,3212.16,3207.2,3208.0,9.968
2024-11-26 12:36:00,BINANCE:ETHEUR,3207.93,3207.93,3207.1,3207.1,0.9062
2024-11-26 12:37:00,BINANCE:ETHEUR,3206.05,3207.55,3201.86,3201.86,6.0327
2024-11-26 12:38:00,BINANCE:ETHEUR,3201.79,3207.74,3201.79,3204.07,1.0874
2024-11-26 12:39:00,BINANCE:ETHEUR,3206.32,3212.6,3206.32,3212.6,6.5382
2024-11-26 12:40:00,BINANCE:ETHEUR,3212.7,3212.7,3206.72,3206.72,0.5223
2024-11-26 12:41:00,BINANCE:ETHEUR,3205.16,3206.07,3202.28,3206.07,3.2851
2024-11-26 12:42:00,BINANCE:ETHEUR,3206.59,3206.61,3204.68,3205.35,2.6628
2024-11-26 12:43:00,BINANCE:ETHEUR,3205.02,3205.72,3204.24,3204.24,3.8588
2024-11-26 12:44:00,BINANCE:ETHEUR,3202.99,3204.24,3201.69,3201.82,0.3288
2024-11-26 12:45:00,BINANCE:ETHEUR,3200.62,3201.67,3192.87,3197.23,10.7179
2024-11-26 12:46:00,BINANCE:ETHEUR,3194.5,3195.51,3188.83,3190.57,8.7654
2024-11-26 12:47:00,BINANCE:ETHEUR,3191.58,3191.58,3189.48,3190.75,0.5864
2024-11-26 12:48:00,BINANCE:ETHEUR,3190.15,3191.78,3183.65,3186.25,7.0155
2024-11-26 12:49:00,BINANCE:ETHEUR,3186.55,3189.78,3183.05,3189.78,0.7478
2024-11-26 12:50:00,BINANCE:ETHEUR,3189.8,3189.8,3186.94,3187.94,1.3256
2024-11-26 12:51:00,BINANCE:ETHEUR,3189.22,3195.3,3185.66,3195.3,1.4266
2024-11-26 12:52:00,BINANCE:ETHEUR,3195.51,3195.51,3191.61,3195.45,8.6525
2024-11-26 12:53:00,BINANCE:ETHEUR,3196.66,3197.14,3193.98,3195.3,2.0369
2024-11-26 12:54:00,BINANCE:ETHEUR,3195.78,3198.96,3192.26,3192.86,1.7959
2024-11-26 12:55:00,BINANCE:ETHEUR,3193.96,3200.12,3193.96,3200.12,4.017
2024-11-26 12:56:00,BINANCE:ETHEUR,3199.49,3201.69,3197.46,3200.19,8.9748
2024-11-26 12:57:00,BINANCE:ETHEUR,3199.86,3200.13,3197.19,3197.51,2.4645
2024-11-26 12:58:00,BINANCE:ETHEUR,3196.46,3199.21,3196.11,3198.0,3.5743
2024-11-26 12:59:00,BINANCE:ETHEUR,3195.01,3196.02,3194.96,3194.96,2.7656
2024-11-26 13:00:00,BINANCE:ETHEUR,3195.84,3197.57,3190.61,3190.75,5.1237
2024-11-26 13:01:00,BINANCE:ETHEUR,3190.0,3191.94,3185.0,3185.0,23.7065
2024-11-26 13:02:00,BINANCE:ETHEUR,3184.73,3193.9,3184.4,3193.59,10.2451
2024-11-26 13:03:00,BINANCE:ETHEUR,3193.69,3200.0,3193.66,3200.0,2.2755
2024-11-26 13:04:00,BINANCE:ETHEUR,3201.48,3201.54,3195.5,3195.5,2.6052
2024-11-26 13:05:00,BINANCE:ETHEUR,3192.89,3194.53,3188.36,3188.36,1.4306
2024-11-26 13:06:00,BINANCE:ETHEUR,3187.04,3187.04,3180.0,3183.41,18.6874
2024-11-26 13:07:00,BINANCE:ETHEUR,3184.42,3191.48,3184.42,3189.24,10.7587
2024-11-26 13:08:00,BINANCE:ETHEUR,3188.94,3195.9,3188.94,3190.06,3.1427
2024-11-26 13:09:00,BINANCE:ETHEUR,3189.83,3189.83,3183.61,3183.61,3.3922
2024-11-26 13:10:00,BINANCE:ETHEUR,3183.75,3185.1,3180.01,3180.42,4.378
2024-11-26 13:11:00,BINANCE:ETHEUR,3183.68,3184.75,3175.0,3179.49,10.5513
2024-11-26 13:12:00,BINANCE:ETHEUR,3183.41,3184.36,3178.0,3178.0,0.619
2024-11-26 13:13:00,BINANCE:ETHEUR,3178.45,3180.37,3175.75,3178.03,1.0734
2024-11-26 13:14:00,BINANCE:ETHEUR,3176.55,3178.56,3175.99,3178.14,5.901
2024-11-26 13:15:00,BINANCE:ETHEUR,3179.05,3180.04,3172.65,3176.06,4.0509
2024-11-26 13:16:00,BINANCE:ETHEUR,3173.64,3175.62,3171.91,3171.91,2.9112
2024-11-26 13:17:00,BINANCE:ETHEUR,3171.62,3175.03,3171.62,3173.41,0.5627
2024-11-26 13:18:00,BINANCE:ETHEUR,3174.64,3174.76,3171.01,3173.36,11.4623
2024-11-26 13:19:00,BINANCE:ETHEUR,3171.29,3177.74,3171.29,3175.88,4.2224
2024-11-26 13:20:00,BINANCE:ETHEUR,3173.52,3173.52,3169.94,3169.94,1.1983
2024-11-26 13:21:00,BINANCE:ETHEUR,3169.75,3178.97,3169.11,3177.37,15.6269
2024-11-26 13:22:00,BINANCE:ETHEUR,3179.57,3180.58,3177.89,3179.85,1.7669
2024-11-26 13:23:00,BINANCE:ETHEUR,3179.85,3179.85,3173.74,3174.57,1.9534
2024-11-26 13:24:00,BINANCE:ETHEUR,3175.0,3177.8,3172.72,3177.8,0.7507
2024-11-26 13:25:00,BINANCE:ETHEUR,3176.04,3176.29,3172.99,3175.78,0.4047
2024-11-26 13:26:00,BINANCE:ETHEUR,3176.28,3176.28,3172.73,3172.73,1.4257
2024-11-26 13:27:00,BINANCE:ETHEUR,3171.06,3176.33,3171.06,3176.33,1.0931
2024-11-26 13:28:00,BINANCE:ETHEUR,3175.2,3178.23,3175.2,3177.93,1.2084
2024-11-26 13:29:00,BINANCE:ETHEUR,3177.93,3180.0,3176.32,3180.0,2.7303
2024-11-26 13:30:00,BINANCE:ETHEUR,3181.04,3187.94,3178.74,3186.24,7.6799
2024-11-26 13:31:00,BINANCE:ETHEUR,3185.83,3185.85,3180.0,3180.0,2.2971
2024-11-26 13:32:00,BINANCE:ETHEUR,3183.24,3183.9,3181.79,3181.79,1.0239
2024-11-26 13:33:00,BINANCE:ETHEUR,3181.46,3185.1,3180.99,3185.1,2.958
2024-11-26 13:34:00,BINANCE:ETHEUR,3182.69,3189.72,3182.69,3189.72,6.27
2024-11-26 13:35:00,BINANCE:ETHEUR,3188.13,3188.13,3183.89,3187.85,2.4567
2024-11-26 13:36:00,BINANCE:ETHEUR,3184.0,3186.26,3183.79,3185.52,1.8723
2024-11-26 13:37:00,BINANCE:ETHEUR,3184.41,3185.52,3181.53,3182.99,2.4656
2024-11-26 13:38:00,BINANCE:ETHEUR,3179.24,3179.24,3169.94,3171.9,9.9746
2024-11-26 13:39:00,BINANCE:ETHEUR,3171.99,3174.62,3171.99,3174.46,3.6195
2024-11-26 13:40:00,BINANCE:ETHEUR,3173.95,3175.7,3171.52,3175.7,5.4357
2024-11-26 13:41:00,BINANCE:ETHEUR,3173.43,3174.65,3173.43,3174.14,2.0929
2024-11-26 13:42:00,BINANCE:ETHEUR,3175.7,3175.7,3169.61,3171.05,2.1501
2024-11-26 13:43:00,BINANCE:ETHEUR,3170.53,3173.31,3170.49,3173.31,1.4566
2024-11-26 13:44:00,BINANCE:ETHEUR,3168.02,3168.02,3161.77,3165.41,7.7366
2024-11-26 13:45:00,BINANCE:ETHEUR,3164.27,3168.51,3160.09,3162.6,3.5623
2024-11-26 13:46:00,BINANCE:ETHEUR,3165.12,3168.45,3158.57,3158.57,9.0027
2024-11-26 13:47:00,BINANCE:ETHEUR,3159.99,3159.99,3155.0,3155.0,9.6041
2024-11-26 13:48:00,BINANCE:ETHEUR,3155.55,3159.65,3154.36,3155.33,5.722
2024-11-26 13:49:00,BINANCE:ETHEUR,3155.01,3158.48,3153.39,3158.48,6.3504
2024-11-26 13:50:00,BINANCE:ETHEUR,3157.58,3158.04,3154.87,3155.28,2.2738
2024-11-26 13:51:00,BINANCE:ETHEUR,3156.64,3156.64,3152.7,3152.93,2.9774
2024-11-26 13:52:00,BINANCE:ETHEUR,3152.54,3153.56,3150.26,3150.81,8.6813
2024-11-26 13:53:00,BINANCE:ETHEUR,3150.99,3153.81,3149.9,3153.8,9.3056
2024-11-26 13:54:00,BINANCE:ETHEUR,3155.96,3162.24,3155.92,3160.85,14.6017
2024-11-26 13:55:00,BINANCE:ETHEUR,3161.13,3161.13,3153.8,3154.34,3.7789
2024-11-26 13:56:00,BINANCE:ETHEUR,3154.16,3154.85,3152.68,3153.89,6.464
2024-11-26 13:57:00,BINANCE:ETHEUR,3154.84,3154.95,3150.87,3151.12,3.6197
2024-11-26 13:58:00,BINANCE:ETHEUR,3153.53,3156.91,3153.53,3154.98,7.7515
2024-11-26 13:59:00,BINANCE:ETHEUR,3154.82,3154.82,3151.86,3151.86,2.0765
